,city,state,population_2018,population_2010,change,area_in_miles,area_in_kms,population_density_in_miles,population_density_in_kms,location,wiki_url,mayor,website
230,Ann Arbor,Michigan,121890.0,113934.0,6.98,28.1,72.8,4298.0,1659.0,42°16′34″N 83°43′51″W,"https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan",,
231,Berkeley,California,121643.0,112580.0,8.05,10.5,27.2,11547.0,4458.0,37°52′01″N 122°17′57″W,"https://en.wikipedia.org/wiki/Berkeley,_California",Jesse Arreguín,
232,Allentown,Pennsylvania,121433.0,118032.0,2.88,17.5,45.3,6882.0,2657.0,40°35′37″N 75°28′42″W,"https://en.wikipedia.org/wiki/Allentown,_Pennsylvania",Ray O'Connell,
233,Richardson,Texas,120981.0,99223.0,21.93,28.6,74.1,3963.0,1530.0,32°58′20″N 96°42′29″W,"https://en.wikipedia.org/wiki/Richardson,_Texas",City Council,
234,Odessa,Texas,120568.0,99940.0,20.64,45.2,117.1,2608.0,1007.0,31°53′02″N 102°20′28″W,"https://en.wikipedia.org/wiki/Odessa,_Texas",City Council,
235,Arvada,Colorado,120492.0,106433.0,13.21,38.6,100.0,3043.0,1175.0,39°50′01″N 105°09′01″W,"https://en.wikipedia.org/wiki/Arvada,_Colorado",Marc Williams,
236,Cambridge,Massachusetts,118977.0,105162.0,13.14,6.4,16.6,17289.0,6675.0,42°22′34″N 71°07′07″W,"https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",,
237,Sugar Land,Texas,118600.0,91252.0,29.97,34.0,88.1,3488.0,1347.0,29°35′58″N 95°36′51″W,"https://en.wikipedia.org/wiki/Sugar_Land,_Texas",City Council,
238,Beaumont,Texas,118428.0,118296.0,0.11,82.1,212.6,1441.0,556.0,30°05′06″N 94°08′43″W,"https://en.wikipedia.org/wiki/Beaumont,_Texas",City Council,
239,Lansing,Michigan,118427.0,114297.0,3.61,39.1,101.3,2967.0,1146.0,42°42′51″N 84°33′33″W,"https://en.wikipedia.org/wiki/Lansing,_Michigan",Andy Schor,
240,Evansville,Indiana,117963.0,117429.0,0.45,47.3,122.5,2526.0,975.0,37°59′16″N 87°32′05″W,"https://en.wikipedia.org/wiki/Evansville,_Indiana",Lloyd Winnecke,
241,Rochester,Minnesota,116961.0,106769.0,9.55,54.6,141.4,2088.0,806.0,44°00′55″N 92°28′38″W,"https://en.wikipedia.org/wiki/Rochester,_Minnesota",Kim Norton,www.rochestermn.gov
242,Independence,Missouri,116925.0,116830.0,0.08,77.8,201.5,1504.0,581.0,39°05′08″N 94°21′08″W,"https://en.wikipedia.org/wiki/Independence,_Missouri",Eileen Weir,
243,Fairfield,California,116884.0,105321.0,10.98,40.9,105.9,2806.0,1083.0,38°15′33″N 122°01′56″W,"https://en.wikipedia.org/wiki/Fairfield,_California",Harry T. Price,
244,Provo,Utah,116702.0,112488.0,3.75,41.7,108.0,2803.0,1082.0,40°14′43″N 111°38′41″W,"https://en.wikipedia.org/wiki/Provo,_Utah",,
245,Clearwater,Florida,116478.0,107685.0,8.17,25.9,67.1,4415.0,1705.0,27°58′44″N 82°46′00″W,"https://en.wikipedia.org/wiki/Clearwater,_Florida",,
246,College Station,Texas,116218.0,93857.0,23.82,51.0,132.1,2199.0,849.0,30°35′07″N 96°17′47″W,"https://en.wikipedia.org/wiki/College_Station,_Texas",Karl Mooney,
247,West Jordan,Utah,116046.0,103712.0,11.89,32.3,83.7,3520.0,1360.0,40°36′09″N 112°00′03″W,"https://en.wikipedia.org/wiki/West_Jordan,_Utah",,www.westjordan.utah.gov
248,Carlsbad,California,115877.0,105328.0,10.02,37.7,97.6,3023.0,1167.0,33°07′26″N 117°16′58″W,"https://en.wikipedia.org/wiki/Carlsbad,_California",Carl Armstrong-Champ,
249,El Monte,California,115586.0,113475.0,1.86,9.6,24.9,12063.0,4658.0,34°04′29″N 118°01′45″W,"https://en.wikipedia.org/wiki/El_Monte,_California",Andre Quintero,
250,Murrieta,California,114985.0,103466.0,11.13,33.6,87.0,3324.0,1283.0,33°34′20″N 117°11′25″W,"https://en.wikipedia.org/wiki/Murrieta,_California",,
251,Temecula,California,114742.0,100097.0,14.63,37.3,96.6,3031.0,1170.0,33°29′35″N 117°07′54″W,"https://en.wikipedia.org/wiki/Temecula,_California",City council,
252,Springfield,Illinois,114694.0,116250.0,1.34,60.1,155.7,1925.0,743.0,39°47′28″N 89°38′41″W,"https://en.wikipedia.org/wiki/Springfield,_Illinois",,
253,Palm Bay,Florida,114194.0,103190.0,10.66,65.7,170.2,1676.0,647.0,27°59′08″N 80°39′45″W,"https://en.wikipedia.org/wiki/Palm_Bay,_Florida",,www.PalmBayFlorida.org
254,Costa Mesa,California,113615.0,109960.0,3.32,15.7,40.7,7186.0,2775.0,33°39′57″N 117°54′44″W,"https://en.wikipedia.org/wiki/Costa_Mesa,_California",City Council,
255,Westminster,Colorado,113479.0,106114.0,6.94,31.7,82.1,3592.0,1387.0,39°52′56″N 105°03′52″W,"https://en.wikipedia.org/wiki/Westminster,_Colorado",Herb Atchison,
256,North Charleston,South Carolina,113237.0,97471.0,16.18,73.7,190.9,1483.0,573.0,32°55′04″N 80°03′54″W,"https://en.wikipedia.org/wiki/North_Charleston,_South_Carolina",,
